Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Manuel,android,search,,,2020-11-01 17:22:51
Manuel,android,movieDetails,,,2020-11-01 17:22:51
Manuel,android,movieDetails,,,2020-11-01 16:06:07
Manuel,android,search,,,2020-11-01 16:06:07
Manuel,android,movieDetails,,,2020-11-01 16:06:04
Manuel,android,playback,,,2020-11-01 16:06:04
Manuel,android,playback,,,2020-11-01 16:05:53
Manuel,android,movieDetails,,,2020-11-01 16:05:52
Manuel,android,search,,,2020-11-01 16:05:50
Manuel,android,movieDetails,,,2020-11-01 16:05:50
Manuel,android,browseTitles,,,2020-11-01 16:04:56
Manuel,android,search,,,2020-11-01 16:04:56
Manuel,android,profilesGate,,,2020-11-01 16:04:52
Manuel,android,browseTitles,,,2020-11-01 16:04:52
Manuel,tvui,profilesGate,,,2020-10-29 08:16:30
Manuel,tvui,exitDialog,,,2020-10-28 16:41:31
Manuel,tvui,profilesGate,,,2020-10-28 16:41:31
Manuel,tvui,profilesGate,,,2020-10-28 16:41:29
Manuel,tvui,exitDialog,,,2020-10-28 16:41:29
Manuel,tvui,profilesGate,,,2020-10-28 16:41:21
Manuel,tvui,profilesGate,,,2020-10-28 11:05:07
Manuel,tvui,browseTitles,,,2020-10-28 11:05:07
Manuel,tvui,profilesGate,,,2020-10-28 11:04:42
Manuel,tvui,browseTitles,,,2020-10-28 11:04:42
Manuel,tvui,browseTitles,,,2020-10-27 21:33:33
Manuel,tvui,movieDetails,,,2020-10-27 21:33:33
Manuel,tvui,playback,,,2020-10-27 21:33:31
Manuel,tvui,movieDetails,,,2020-10-27 21:33:31
Manuel,tvui,movieDetails,,,2020-10-27 20:48:12
Manuel,tvui,playback,,,2020-10-27 20:48:12
Manuel,tvui,playback,,,2020-10-27 20:48:12
Manuel,tvui,playback,,,2020-10-27 20:48:12
Manuel,tvui,browseTitles,,,2020-10-27 20:47:57
Manuel,tvui,movieDetails,,,2020-10-27 20:47:57
Manuel,tvui,profilesGate,,,2020-10-27 20:47:05
Manuel,tvui,browseTitles,,,2020-10-27 20:47:05
Manuel,android,playback,,,2020-10-27 18:36:22
Manuel,android,browseTitles,,,2020-10-27 18:36:22
Manuel,android,playback,,,2020-10-27 18:35:36
Manuel,android,browseTitles,,,2020-10-27 18:35:35
Manuel,android,browseTitles,,,2020-10-27 18:35:23
Manuel,tvui,browseTitlesGallery,,,2020-10-27 18:27:15
Manuel,tvui,profilesGate,,,2020-10-27 18:27:15
Manuel,tvui,movieDetails,,,2020-10-27 18:27:09
Manuel,tvui,browseTitlesGallery,,,2020-10-27 18:27:09
Manuel,tvui,postPlay,,,2020-10-27 18:27:06
Manuel,tvui,movieDetails,,,2020-10-27 18:27:06
Manuel,tvui,playback,,,2020-10-27 18:27:01
Manuel,tvui,postPlay,,,2020-10-27 18:27:01
Manuel,tvui,movieDetails,,,2020-10-27 16:56:57
Manuel,tvui,playback,,,2020-10-27 16:56:57
Manuel,tvui,browseTitlesGallery,,,2020-10-27 16:56:56
Manuel,tvui,movieDetails,,,2020-10-27 16:56:56
Manuel,tvui,browseTitles,,,2020-10-27 16:56:16
Manuel,tvui,browseTitlesGallery,,,2020-10-27 16:56:16
Manuel,tvui,movieDetails,,,2020-10-27 16:56:08
Manuel,tvui,browseTitles,,,2020-10-27 16:56:08
Manuel,tvui,playback,,,2020-10-27 16:56:07
Manuel,tvui,movieDetails,,,2020-10-27 16:56:07
Manuel,tvui,movieDetails,,,2020-10-27 16:48:06
Manuel,tvui,playback,,,2020-10-27 16:48:06
Manuel,tvui,movieDetails,,,2020-10-27 16:48:05
Manuel,tvui,browseTitles,,,2020-10-27 16:48:05
Manuel,tvui,profilesGate,,,2020-10-27 16:46:09
Manuel,tvui,browseTitles,,,2020-10-27 16:46:09
Manuel,tvui,profilesGate,,,2020-10-27 16:45:24
Manuel,tvui,browseTitles,,,2020-10-27 16:45:24
Manuel,tvui,profilesGate,,,2020-10-27 07:33:05
Manuel,tvui,playback,,,2020-10-23 21:54:30
Manuel,tvui,movieDetails,,,2020-10-23 21:54:30
Manuel,tvui,movieDetails,,,2020-10-23 20:29:26
Manuel,tvui,playback,,,2020-10-23 20:29:26
Manuel,tvui,browseTitles,,,2020-10-23 20:29:17
Manuel,tvui,movieDetails,,,2020-10-23 20:29:17
Manuel,tvui,profilesGate,,,2020-10-23 20:18:55
Manuel,tvui,browseTitles,,,2020-10-23 20:18:55
Manuel,tvui,postPlay,,,2020-10-22 23:36:59
Manuel,tvui,playback,,,2020-10-22 23:36:59
