Profile Name,Show,Has Watched,Is Interested,Event Date
Christy,Gossip Girl,true,false,2017-11-30
Christy,Rick and Morty,true,false,2017-11-30
Christy,Grace and Frankie,true,false,2017-11-30
Christy,Gossip Girl,true,false,2017-11-30
Christy,Rick and Morty,true,false,2017-11-30
Christy,Grace and Frankie,true,false,2017-11-30
Antonio,Breaking Bad,true,false,2017-11-27
Antonio,Rick and Morty,true,false,2017-11-27
Antonio,Stranger Things,true,false,2017-11-27
Antonio,Breaking Bad,true,false,2017-11-27
Antonio,Rick and Morty,true,false,2017-11-27
Antonio,Stranger Things,true,false,2017-11-27
