Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Tania,2020-11-12 18:23:23,00:05:07,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: Dream Lover (Episode 14)",,Hisense MTK5657 on UHD platform Smart TV,00:05:34,00:05:34,ZA (South Africa)
Tania,2020-11-12 18:01:06,00:22:12,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: Kid in Play (Episode 13)",,Hisense MTK5657 on UHD platform Smart TV,00:22:39,00:22:39,ZA (South Africa)
Tania,2020-11-12 17:39:47,00:21:16,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: Put to the Test (Episode 12)",,Hisense MTK5657 on UHD platform Smart TV,00:21:46,00:21:46,ZA (South Africa)
Manuel,2020-11-12 17:33:28,00:52:55,,The Karate Kid Part II,,Google Chromecast streaming stick,00:52:55,00:52:55,ZA (South Africa)
Tania,2020-11-12 16:21:52,00:21:48,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: Field Trip (Episode 11)",,Hisense MTK5657 on UHD platform Smart TV,00:21:48,00:21:48,ZA (South Africa)
Tania,2020-11-12 16:00:23,00:21:24,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: It's a Party Thang (Episode 10)",,Hisense MTK5657 on UHD platform Smart TV,00:21:47,00:21:47,ZA (South Africa)
Tania,2020-11-12 15:39:58,00:20:15,,"Sister, Sister: Season 2: Two for the Road (Episode 9)",,Hisense MTK5657 on UHD platform Smart TV,00:21:45,00:21:45,ZA (South Africa)
Kenzou,2020-11-12 12:01:27,00:22:48,,Trolls: The Beat Goes On!: Season 4: Weekend at Diamond's / Branchception (Episode 2),,Google Chromecast streaming stick,00:22:48,00:22:48,ZA (South Africa)
Tania,2020-11-12 11:56:45,00:01:05,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: Two for the Road (Episode 9)",,Hisense MTK5657 on UHD platform Smart TV,00:01:32,Not latest view,ZA (South Africa)
Tania,2020-11-12 11:40:56,00:15:45,,"Sister, Sister: Season 2: Tattoo (Episode 8)",,Hisense MTK5657 on UHD platform Smart TV,00:21:46,00:21:46,ZA (South Africa)
