profileName,esn,deviceType,acctFirstPlaybackDate,acctLastPlaybackDate,acctFirstPlaybackDateForUserGeneratedPlays,acctLastPlaybackDateForUserGeneratedPlays,profileFirstPlaybackDate,profileLastPlaybackDate,profileFirstPlaybackDateForUserGeneratedPlays,profileLastPlaybackDateForUserGeneratedPlays,deactivationTime
Antonio,HISETVD12600000000000000000000000000966633,Hisense DB MSD6586 4.3 on UHD platform Smart TV,2019-01-12 09:51:46.127000,2020-11-12 19:02:05.274000,2019-01-12 12:57:49.967000,2020-11-11 14:24:45.344000,2019-01-12 12:50:32.526000,2020-11-12 19:02:05.274000,2019-01-12 12:57:49.967000,2020-11-11 14:24:45.344000,
Tania,HISETVK32000000000000000000000000002141706,Hisense MTK5657 on UHD platform Smart TV,2018-05-04 18:25:13.685000,2020-11-12 18:23:23.897000,2018-07-19 16:57:52.327000,2020-11-12 18:23:23.897000,2018-10-28 22:25:39.948000,2020-11-12 18:23:23.897000,2018-11-05 19:23:50.984000,2020-11-12 18:23:23.897000,
Manuel,GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,Google Chromecast streaming stick,2019-06-14 16:02:29.412000,2020-11-12 17:33:28.040000,2019-06-14 16:02:29.412000,2020-11-12 17:33:28.040000,2019-06-16 20:12:25.692000,2020-11-12 17:33:28.040000,2019-06-16 20:12:25.692000,2020-11-12 17:33:28.040000,
Kenzou,GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,Google Chromecast streaming stick,2019-06-14 16:02:29.412000,2020-11-12 17:33:28.040000,2019-06-14 16:02:29.412000,2020-11-12 17:33:28.040000,2020-11-04 11:55:34.508000,2020-11-12 12:01:27.206000,2020-11-04 11:55:34.508000,2020-11-12 12:01:27.206000,
Tania,GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,Google Chromecast streaming stick,2019-06-14 16:02:29.412000,2020-11-12 17:33:28.040000,2019-06-14 16:02:29.412000,2020-11-12 17:33:28.040000,2019-06-14 16:02:29.412000,2020-11-11 20:06:22.307000,2019-06-14 16:02:29.412000,2020-11-11 20:06:22.307000,
Tania,NFANDROID1-PRV-P-GOOGLPIXEL=3-8522-063897A831C6F263E127DA66CBB7FEF80A04F1438D291C32C622509B84C7B39AA,DefaultWidevineAndroidPhone,2019-10-14 17:08:21.915000,2020-11-09 20:03:41.897000,2019-10-14 17:08:21.915000,2020-11-09 20:03:41.897000,2019-10-14 17:08:21.915000,2020-11-09 20:03:41.897000,2019-10-14 17:08:21.915000,2020-11-09 20:03:41.897000,
Manuel,HISETVK32000000000000000000000000002141706,Hisense MTK5657 on UHD platform Smart TV,2018-05-04 18:25:13.685000,2020-11-12 18:23:23.897000,2018-07-19 16:57:52.327000,2020-11-12 18:23:23.897000,2018-06-10 12:57:29.562000,2020-11-09 17:28:40.317000,2018-07-19 16:57:52.327000,2020-11-09 16:20:56.803000,
Manuel,NFCDCH-LX-GUDPLGX89CKJW01Y950DKWPGC553XV,Netflix Chrome Linux (Cadmium) HTML 5,,,,,,,,,
Kenzou,NFANDROID1-PRV-P-GOOGLPIXEL=3-8522-063897A831C6F263E127DA66CBB7FEF80A04F1438D291C32C622509B84C7B39AA,DefaultWidevineAndroidPhone,2019-10-14 17:08:21.915000,2020-11-09 20:03:41.897000,2019-10-14 17:08:21.915000,2020-11-09 20:03:41.897000,2020-11-06 11:04:29.271000,2020-11-06 11:04:29.271000,2020-11-06 11:04:29.271000,2020-11-06 11:04:29.271000,
Manuel,NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,DefaultWidevineAndroidPhone,2019-06-16 20:11:27.627000,2020-11-01 16:05:53.681000,2019-06-16 20:11:27.627000,2020-11-01 16:05:53.681000,2019-06-16 20:11:27.627000,2020-11-01 16:05:53.681000,2019-06-16 20:11:27.627000,2020-11-01 16:05:53.681000,
