esn,country,localizedDeviceDescription,deviceDescription,ip,regionCodeDisplayName,ts
HISETVD12600000000000000000000000000966633,ZA,Hisense DB MSD6586 4.3 on UHD platform Smart TV,Hisense DB MSD6586 4.3 on UHD platform Smart TV,165.73.58.87,Unknown,2020-11-12 19:02:05.274
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.188.101,Unknown,2020-11-12 18:01:06.882
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,155.93.188.101,Unknown,2020-11-12 12:01:27.206
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,155.93.188.101,Unknown,2020-11-11 20:00:19.987
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.188.101,Unknown,2020-11-11 13:02:14.570
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,102.132.162.92,Unknown,2020-11-11 07:44:56.371
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.162.92,Unknown,2020-11-11 06:28:54.415
NFANDROID1-PRV-P-GOOGLPIXEL=3-8522-063897A831C6F263E127DA66CBB7FEF80A04F1438D291C32C622509B84C7B39AA,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,102.132.162.92,Unknown,2020-11-09 20:02:24.409
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,102.132.162.92,Unknown,2020-11-08 18:17:42.253
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.162.92,Unknown,2020-11-07 17:07:14.573
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.163.34,Unknown,2020-11-07 07:29:46.464
NFANDROID1-PRV-P-GOOGLPIXEL=3-8522-063897A831C6F263E127DA66CBB7FEF80A04F1438D291C32C622509B84C7B39AA,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.163.34,Unknown,2020-11-06 11:04:29.271
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,155.93.163.34,Unknown,2020-11-05 19:31:38.358
NFANDROID1-PRV-P-GOOGLPIXEL=3-8522-063897A831C6F263E127DA66CBB7FEF80A04F1438D291C32C622509B84C7B39AA,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.163.34,Unknown,2020-11-01 18:51:48.348
NFANDROID1-PRV-P-GOOGLPIXEL=3-8522-063897A831C6F263E127DA66CBB7FEF80A04F1438D291C32C622509B84C7B39AA,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.163.34,Unknown,2020-11-01 18:51:43.476
NFANDROID1-PRV-P-GOOGLPIXEL=3-8522-063897A831C6F263E127DA66CBB7FEF80A04F1438D291C32C622509B84C7B39AA,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.163.34,Unknown,2020-11-01 18:51:32.741
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.163.34,Unknown,2020-11-01 16:05:53.681
NFCDCH-02-G9W05EXXRVQNEU7AH1L5Q3C5760UCQ,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.194.140,Unknown,2020-10-29 17:19:33.820
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,155.93.163.34,Unknown,2020-10-27 20:46:41.422
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,155.93.163.34,Unknown,2020-10-27 18:36:50.648
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.163.34,Unknown,2020-10-27 18:35:38.253
NFCDCH-02-G9W05EXXRVQNEU7AH1L5Q3C5760UCQ,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.177,Unknown,2020-10-27 17:22:41.237
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.163.34,Unknown,2020-10-27 09:00:05.150
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.163.34,Unknown,2020-10-27 07:34:25.223
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,155.93.163.119,Unknown,2020-10-24 06:32:16.976
